size,threads,time,iters_cg,iters_second,newton_iter
64,serial,0.031727,1007,31739.5,301
128,serial,0.131034,1515,11561.9,300
256,serial,0.778157,2784,3577.68,300
512,serial,5.95253,5366,901.465,300
1024,serial,47.1502,10442,221.462,301
