grid_size,ranks,iters_per_second
128,1,5013.142913
128,2,6870.366478
128,4,8123.136981
128,8,10537.881245
128,16,1769.021466
128,32,861.936676
256,1,1762.605976
256,2,3015.333666
256,4,4538.285114
256,8,6102.631030
256,16,1359.225426
256,32,603.736154
512,1,337.814650
512,2,841.503613
512,4,1582.781943
512,8,2269.707947
512,16,1200.772284
512,32,587.040410
1024,1,75.869234
1024,2,147.347131
1024,4,251.716720
1024,8,415.398820
1024,16,316.584236
1024,32,262.506796
