grid_size,ranks,iters_per_second
128,1,10366.7
128,2,19629.7
128,4,16320.3
128,8,46576.7
128,16,11032.1
128,32,2459.74
256,1,2773.47
256,2,2404.88
256,4,9206.31
256,8,18938.8
256,16,5048.37
256,32,2386.75
512,1,700.856
512,2,1415.37
512,4,2816.37
512,8,5445.58
512,16,3933.56
512,32,1685.99
1024,1,161.144
1024,2,351.401
1024,4,636.538
1024,8,919.159
1024,16,779.376
1024,32,546.659
