k,kmeans,agglomerative_complete,agglomerative_single
2.0,0.38442823990083175,0.7150759799012494,0.7150759799012494
3.0,0.4000874303098435,0.6236478179065615,0.6354561390410981
4.0,0.3072336414636954,0.614799336278235,0.637996642090427
5.0,0.36511766028425596,0.4916804016450536,0.5639189004181661
6.0,0.36427151163912247,0.49155503513721166,0.5236234411971162
7.0,0.3208391771354898,0.48379651044387206,0.49794493649434507
8.0,0.3742144705295135,0.48507787673193375,0.4513941137362654
9.0,0.3902141708353248,0.400219480660081,0.40153161106865515
10.0,0.3953779601046508,0.402601644137628,0.39950950632804755
11.0,0.40358207377427435,0.40235198913594483,0.42283125475332745
12.0,0.3586412893464407,0.4065303791764384,0.4246095091153361
13.0,0.4017258083683337,0.39151519460269363,0.2190050691954419
14.0,0.4115392425568437,0.41701652652903715,0.2383932499044846
15.0,0.4156741217014047,0.45728155240673457,0.2396602142516929
16.0,0.45452736266853666,0.46004622476113377,0.2409527738382387
17.0,0.4988288467427442,0.46200571438407767,0.2422717121918568
18.0,0.5204462808175686,0.45887691520640944,0.21990226070564092
19.0,0.5423262339337163,0.4626319564732486,0.21076131421009064
20.0,0.5558534050046228,0.5005500476267644,0.2164688290846869
21.0,0.5206634553431688,0.489586530901962,0.2179406143292327
22.0,0.5429619568612842,0.5224232513414283,0.21944485361835225
23.0,0.5655758092014997,0.5442705175459399,0.22098263761100995
24.0,0.5885345718161331,0.5453661770009434,0.22023814556358473
25.0,0.591742216400151,0.548079501842931,0.22184318844576503
26.0,0.5950533110379959,0.5699394756326559,0.32759178324322275
27.0,0.5984729428142004,0.5727172438970035,0.32784303584992086
28.0,0.6224641786226753,0.5945864010112344,0.3368444182941199
29.0,0.6299305251930093,0.5974709929620404,0.36828567730638034
30.0,0.6337956582669202,0.6004394199389884,0.3897377607186675
31.0,0.6377983649391792,0.6306078330270686,0.3921219155712652
32.0,0.6419461171025465,0.6334944548816552,0.394573399349338
33.0,0.6674809378116611,0.6365262148565605,0.4165468231383288
34.0,0.6721082236712912,0.642687790357552,0.43881342502931997
35.0,0.6747172329723028,0.6636682555966017,0.4425261675422868
36.0,0.6821012107003006,0.6826167871511923,0.45046622990711505
37.0,0.6870852395317774,0.6850679946448235,0.4535283062592188
38.0,0.6922708431420728,0.6875192021384545,0.47678321687887776
39.0,0.6976704606507107,0.6924216171257168,0.473177652921449
40.0,0.7032975710219324,0.6976632449875159,0.5308021524956547
41.0,0.7092399281772086,0.7036056021427919,0.6173770802337897
42.0,0.7144815560390074,0.709547959298068,0.6221069042355443
43.0,0.7205252037414568,0.7094748343498887,0.6693239064655896
44.0,0.7264957264957265,0.717948717948718,0.717948717948718
45.0,0.7264957264957265,0.7264957264957265,0.7264957264957265
46.0,0.7264957264957265,0.6666666666666666,0.7094017094017094
47.0,0.7264957264957265,0.6666666666666666,0.6923076923076923
48.0,0.7264957264957265,0.6666666666666666,0.6324786324786325
49.0,0.7264957264957265,0.6666666666666666,0.6324786324786325
50.0,0.7264957264957265,0.6666666666666666,0.6324786324786325
51.0,0.7264957264957265,0.6666666666666666,0.6324786324786325
52.0,0.7264957264957265,0.6495726495726496,0.6324786324786325
53.0,0.7264957264957265,0.5982905982905983,0.6324786324786325
54.0,0.7264957264957265,0.5641025641025641,0.6068376068376068
55.0,0.7264957264957265,0.5470085470085471,0.6068376068376068
56.0,0.7264957264957265,0.5213675213675214,0.5897435897435898
57.0,0.7264957264957265,0.5213675213675214,0.5726495726495726
58.0,0.7264957264957265,0.5042735042735043,0.5555555555555556
59.0,0.7264957264957265,0.5042735042735043,0.5384615384615384
60.0,0.7264957264957265,0.5042735042735043,0.5042735042735043
