k,kmeans,agglomerative_complete,agglomerative_single
2.0,0.5632185894303943,0.5632185894303943,0.5702349848862132
3.0,0.5640420273522965,0.5640420273522965,0.5640420273522965
4.0,0.5103454148366122,0.4093241461526638,0.5528005354254036
5.0,0.5142112493501857,0.41824946061105794,0.5199680467917629
6.0,0.5108639454358747,0.42331147908048866,0.5186475987858005
7.0,-0.1527001816153975,0.42578297811238547,0.5158492776340666
8.0,-0.1418056031579421,0.4316952561892061,0.5137087013821572
9.0,-0.1156285976305815,0.385036569060487,0.4372518522677942
10.0,-0.0906093827462301,0.38862212718053124,0.3853856337841763
11.0,-0.0826909618784568,0.3882625589677766,0.38464672231524405
12.0,-0.08043061344488923,0.4006403670079319,0.3963789345640747
13.0,-0.05871696407556587,0.39916480050001196,0.3962000632800476
14.0,-0.04984182935827903,0.3805518339303986,0.36349614598815183
15.0,-0.04374385945248792,0.3548516097316077,0.3353390968891639
16.0,-0.04874660499160524,0.34012355979177683,0.335319892606618
17.0,-0.03947453722008104,0.3372996875305428,0.30194659855029465
18.0,-0.0367847656588746,0.3372962511553891,0.3160551091178996
19.0,-0.024834035421658806,0.32297161700668975,0.30891488296680725
20.0,-0.013043445815362098,0.3043005007018224,0.2560242585960354
21.0,0.019444280105663993,0.3017361935725757,0.260271696111271
22.0,0.02763163006996223,0.21460619959611243,0.26460868395371784
23.0,0.048927488957787854,0.21819556436201207,0.2690564360810449
24.0,0.05953720452155801,0.18845318208361156,0.27360978611825565
25.0,0.0701834933443218,0.19970728166564497,0.2868310068122223
26.0,0.06520364386318576,0.21240227780059118,0.28892304071015024
27.0,0.058288795810391154,0.21850880842164444,0.28945483375697456
28.0,0.09867469235231399,0.22165580416117048,0.2854322898415887
29.0,0.1007425055210515,0.23837816256665278,0.25386186887510065
30.0,0.11616162931715156,0.23192272394315858,0.2553218631403194
31.0,0.1542436740055566,0.2283293475626066,0.24841251232952694
32.0,0.1623272891025002,0.2283293475626066,0.24001810111539945
33.0,0.1623272891025002,0.2283293475626066,0.24001810111539945
34.0,0.1623272891025002,0.2283293475626066,0.2248949852474023
35.0,0.17117540277904,0.22846977874776606,0.2265285306165139
36.0,0.17117540277904,0.22969575998587627,0.16842672273340742
37.0,0.1768193673784333,0.22785925050715425,0.1628062824714291
38.0,0.18198637812191895,0.22333535518285214,0.16646320508394996
39.0,0.18538744559161735,0.23509564502485422,0.16151626499115632
40.0,0.1904274999237212,0.24629600975990878,0.16072984922678676
41.0,0.2101695041999161,0.25362912940837895,0.16218654801683433
42.0,0.21837521308559105,0.2554905105230165,0.16368956658217884
43.0,0.21952986708453606,0.25960429304639415,0.1652411504801653
44.0,0.2168863365001578,0.2589658338710866,0.1726346249124877
45.0,0.2212220950831823,0.26212570288726106,0.16270267770022317
46.0,0.22568824077949887,0.26661173809742633,0.08694023054666808
47.0,0.2185050897711154,0.27062164591103816,0.08840743637961654
48.0,0.22318466417130725,0.27460128515355403,0.09148100354816416
49.0,0.23512071318082478,0.268884005460457,0.09710030084944006
50.0,0.25687008720347493,0.2657723092211838,0.10101233977692493
51.0,0.253734910636665,0.256349461286302,0.0886458681088664
52.0,0.26574758977332025,0.24974280459795686,0.08776172449495025
53.0,0.27269318684247235,0.25484000697535697,0.09181657532465515
54.0,0.27824428505384946,0.2575700774023042,0.09295076954327357
55.0,0.2604396646020386,0.26031597756204283,0.09421341995849426
56.0,0.26256084850784117,0.2630824563744106,0.09843683935629258
57.0,0.2673866720090135,0.2658763733902835,0.09973739945088747
58.0,0.27235264877438853,0.26870801793597626,0.10109354488139273
59.0,0.2832634497926523,0.27159355895284004,0.10250893230083544
60.0,0.28572521459046696,0.2745599446764605,0.10398754792717892
